Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
JM1LRA,17,0,1,8,6,7,1,0
JM1MTE,34,0,7,16,16,12,4,0
JM1NKT,25,0,0,0,25,0,0,0
JM1PIH,15,0,1,5,5,7,0,0
JM1UWB,19,0,19,0,0,0,0,0
JM1VDM,34,2,9,23,5,4,1,0
JM1XMH,9,0,0,9,0,1,0,0
JM1XTB,12,0,0,12,0,0,0,0
JM2LHB,18,0,0,4,10,7,2,0
JM3AAN,24,0,0,11,7,10,3,0
JM3UGA,33,3,13,21,18,13,3,0
JM3UJJ,27,0,0,13,10,7,4,0
JM4WUZ,13,7,2,5,2,2,0,0
JM8EUX,18,0,1,11,8,2,1,0
JM8GJB,5,0,0,0,0,5,0,0
JM8LND,23,0,0,12,10,7,2,0
JN1BMX,9,0,4,2,2,2,0,0
JN1DNV,5,0,0,0,1,4,1,0
JN1ECL,10,0,0,7,2,1,0,0
JN1RQV,12,3,2,9,2,1,0,0
JN1THL,22,0,0,0,22,0,0,0
JN1VFF,10,0,0,8,4,0,0,0
JN2AMD,41,12,19,26,23,16,6,0
JN3DMJ,15,1,1,5,5,6,0,0
JN3DSH,22,0,0,0,0,22,0,0
JN3IWQ,17,0,0,0,12,10,2,0
JN3ONX,4,0,0,0,4,0,0,0
JN3SAC,34,0,0,16,20,6,3,0
JN3TMW,33,7,13,12,11,14,5,0
JN4MMO,39,1,0,0,39,0,0,0
JO1JKH,9,0,0,0,0,9,0,0
JO1PGG,4,0,0,4,0,0,0,0
JO1SIM,9,0,0,4,4,5,1,0
JO1WIZ,17,0,0,4,5,12,5,0
JO2FBV,25,0,0,0,25,0,0,0
JO3PSJ,21,0,0,0,21,8,0,0
JO3QVT,27,0,6,9,15,11,2,0
JO4CFV,4,0,0,0,2,3,1,0
JO7GVC,11,0,0,11,0,0,0,0
JO7KMB,28,2,13,1,12,4,1,0
JO7RAA,12,0,1,2,8,4,5,0
JP1HUJ,9,0,0,8,2,0,0,0
JP1IXV,22,0,0,0,0,22,0,0
JP1KLR,16,0,0,9,0,7,0,0
JP1LRT,12,0,0,10,2,1,1,0
JP1SRG,9,0,5,5,0,0,0,0
JP2XYT,7,0,2,4,2,5,1,0
JP3BEE,13,0,0,5,10,5,2,0
JP3NQX,6,0,0,1,1,5,0,0
JP3QAO,24,0,1,6,16,7,1,0
JP7DHE/1,2,0,0,2,0,0,0,0
JP7GRU,2,0,0,2,0,0,0,0
JQ1ABC,42,3,7,19,19,13,4,0
JQ1ARQ,15,1,4,10,0,8,3,0
JQ1CIV,24,0,8,9,14,8,3,0
JQ1COB,13,1,1,4,9,2,1,0
JQ1EPD,12,0,0,7,6,0,0,0
JQ1NGT,22,0,0,0,0,22,0,0
JQ1PCT,2,0,0,0,2,1,0,0
JQ1TIV,14,3,5,9,3,3,2,0
JQ1VDJ,12,0,0,9,3,0,0,0
JQ2OUL,9,0,0,0,4,5,1,0
JQ3TAN,17,4,0,6,2,4,3,0
JR0BQD,18,0,18,0,0,0,0,0
JR0BUL,16,0,0,0,0,16,0,0
JR0GFM,23,0,0,0,23,0,0,0
JR0GXA,18,0,5,8,7,2,2,0
JR1AQI,18,0,0,3,13,16,3,0
JR1BAS,4,0,0,0,4,0,0,0
JR1EMT,18,0,0,4,8,9,4,0
JR1IJV,20,3,4,9,11,8,4,0
JR1JCB,24,0,8,10,6,5,2,0
JR1LEV,13,0,4,9,4,2,0,0
JR1MEG/1,23,0,0,0,0,23,0,0
JR1MEU,23,0,5,6,13,11,4,0
JR1NKN,20,0,0,0,3,20,6,0
JR1USU,2,0,0,0,2,0,0,0
JR1ZTI,35,0,9,14,20,14,2,0
JR2ALA,13,0,0,13,0,0,0,0
JR2AWS,29,8,12,18,16,7,1,0
JR2BYJ,13,0,0,3,11,7,0,0
JR2EKD,8,2,2,3,0,2,0,0
JR2FJC,8,0,0,0,0,8,0,0
JR2GRX,47,10,22,27,26,22,12,0
JR2MIN,22,0,0,0,22,0,0,0
JR2MIO,14,0,0,0,14,0,0,0
JR2NMJ,7,0,2,3,2,2,2,0
JR2NTC/2,8,0,2,6,5,1,0,0
JR2PAU,20,0,5,7,10,5,1,0
JR2PMT,27,6,13,13,15,9,4,0
JR2TDB,7,0,0,5,0,2,0,0
JR2TTS,14,0,0,7,6,4,2,0
JR2UBS,28,3,0,12,13,8,0,0
JR3BOT,20,0,1,8,10,6,4,0
JR3EOI,25,0,0,0,0,25,0,0
JR3FYM,19,0,1,11,5,5,0,0
JR3KQJ,24,5,8,7,10,5,3,0
JR3OEH,8,0,0,4,2,3,1,0
JR3OYH,6,0,0,6,0,0,0,0
JR3RIY,6,0,0,2,3,6,3,0
JR3UIC,13,4,2,6,1,2,3,0
JR3XEX,20,0,0,9,6,7,0,0
JR4BYH,8,0,0,0,0,8,0,0
JR4CTF,8,0,0,6,3,1,0,0
JR4CZM,14,10,0,8,2,1,0,0
jr4dah,43,0,12,25,24,19,5,0
JR4GPA,13,0,0,0,13,0,0,0
JR4OZR,44,9,20,22,23,18,3,0
JR4PDP,2,0,0,2,0,0,0,0
JR4VEV,11,0,9,6,0,0,0,0
JR5JAQ,28,28,0,0,0,0,0,0
JR6AG,36,0,0,12,13,10,6,0
JR6CSY,15,0,2,11,3,2,0,0
JR6GIM,15,0,15,4,0,0,0,0
JR7ASO,19,0,0,11,10,6,1,0
JR7FRW,16,3,6,8,1,0,0,0
JR7IWC,8,0,0,0,0,8,0,0
JR7OEF,7,0,0,7,0,0,0,0
JR8NOD,8,0,0,0,6,3,1,0
JR8QFG,20,0,3,12,9,6,1,0
JR9CPT,14,0,0,4,8,6,0,0
JR9GMS,16,0,4,10,5,4,0,0
JR9NVB,24,0,0,24,0,0,0,0
JS1BXH,4,0,0,0,2,3,0,0
JS1KKY,33,0,9,12,21,17,4,0
JS3CGH,7,0,0,6,2,0,0,0
JS3CTQ,45,17,13,28,22,15,7,0
JS3EOE,32,1,7,13,14,13,2,0
JS6RRR,6,0,6,0,0,0,0,0
JS6RTJ,16,0,0,0,0,0,16,0
JS6TGX,1,0,0,1,0,0,0,0
JT1BV,19,0,0,0,19,0,0,0
JT1CD/0,20,0,2,7,11,5,0,0
JT5DX,39,13,13,16,13,11,3,0
JU1DX,18,0,6,8,4,3,0,0
K0AD,25,5,8,15,16,13,0,0
K0AP,2,0,0,0,0,2,0,0
K0BX,7,0,0,1,5,3,0,0
K0CD,14,0,0,3,11,0,0,0
K0CF,24,0,0,5,19,7,1,0
K0CN,31,0,1,13,15,10,0,0
K0DTJ,20,0,3,6,13,9,1,0
K0EJ,45,12,19,26,27,24,7,0
K0EV,2,0,0,2,0,0,0,0
K0FJ,2,0,0,0,1,1,1,0
K0IP,17,0,1,2,14,3,0,0
K0IR,11,1,1,1,3,8,0,0
K0JJR,30,2,4,12,16,10,2,0
K0JPL,27,0,5,11,12,7,2,0
K0KT,18,2,17,0,0,0,0,0
K0KX,37,6,12,16,19,10,4,0
K0LDS,5,0,0,0,3,3,0,0
K0LUZ,36,0,0,0,36,0,0,0
K0MD,37,9,11,22,21,14,7,0
K0MPH,15,0,2,4,13,6,1,0
K0NM,12,0,5,9,4,2,0,0
K0NW,14,0,1,3,7,6,0,0
K0OB,12,0,0,4,9,6,0,0
K0OO,46,9,18,28,27,21,4,0
K0OU,39,0,11,20,18,12,4,0
K0PC,2,0,0,0,2,2,0,0
K0PG,2,0,0,0,1,2,0,0
K0PJ,18,0,13,2,1,3,1,0
K0PK,18,0,0,18,0,0,0,0
K0RC,17,5,3,7,9,5,2,0
K0RCJ,11,2,2,2,4,6,0,0
K0RF,48,19,28,34,34,21,10,0
K0SRL,21,3,3,8,7,7,2,0
K0TC,15,1,2,4,11,9,0,0
K0TNT,7,0,0,2,2,5,0,0
K0TQ,18,0,3,4,10,7,0,0
K0VBU,11,0,0,1,2,9,0,0
K0VG,31,2,6,11,22,10,0,0
K0VXU,3,0,0,0,1,2,0,0
K0WA,8,0,0,3,6,1,0,0
K0WRY,15,0,0,6,11,0,0,0
K0YR,24,5,9,8,14,10,1,0
K0ZR,37,4,14,21,21,16,4,0
K0ZU,32,0,0,24,6,5,0,0
K0ZX,21,0,5,7,11,5,3,0
K1AR,41,14,19,25,26,17,3,0
K1BG,39,8,16,18,20,14,5,0
K1BV,26,0,8,12,17,9,3,0
K1BX,28,2,8,13,18,9,4,0
K1BZ,14,0,0,14,0,0,0,0
K1DBO,17,0,2,10,11,3,0,0
K1DG,19,7,8,8,10,9,2,0
K1DJ,24,0,5,8,19,10,2,0
K1ECU,10,0,3,2,8,3,0,0
K1EFI,15,0,0,0,15,0,0,0
K1ESE,45,10,16,21,19,11,3,0
K1FR,11,0,0,2,9,2,0,0
K1GG,16,2,3,5,13,4,0,0
K1GQ,21,3,5,8,11,8,4,0
K1GU,27,4,9,11,11,5,0,0
K1HT,27,5,6,12,15,7,1,0
K1IB,20,0,0,0,19,8,0,0
K1IG,17,0,0,4,12,3,0,0
K1IR,1,0,0,1,0,0,0,0
K1IX,22,2,4,8,9,9,0,0
K1JB,13,3,4,9,5,6,1,0
K1KD,2,0,0,1,1,0,0,0
K1KI,33,10,12,22,17,12,4,0
K1KNQ,28,6,13,3,8,13,2,0
K1KP,48,11,21,28,20,13,2,0
K1KU,7,0,0,2,5,0,0,0
K1LD,38,0,14,15,14,12,1,0
K1LEE,11,0,1,2,8,2,0,0
K1LT,40,14,19,26,26,13,5,0
K1LU,5,0,0,0,5,0,0,0
K1MC,26,0,13,5,4,7,0,0
K1MD,24,3,6,11,16,8,0,0
K1NY,22,0,0,22,0,0,0,0
K1PT,20,0,4,3,13,9,2,0
K1PTF,37,7,15,21,18,17,3,0
K1QX,1,1,0,1,0,0,0,0
K1RM,26,0,7,8,7,10,0,0
K1RO,13,3,4,6,6,8,0,0
K1RU,38,4,11,15,18,12,5,0
K1RV,33,6,10,18,17,10,1,0
K1SM,23,0,2,7,18,8,3,0
K1SX,25,0,15,2,8,2,0,0
K1TH,13,0,0,5,8,4,0,0
K1TN,24,0,2,14,7,6,0,0
K1TR,13,1,3,6,7,2,0,0
K1TTT,48,25,30,42,40,29,20,0
K1TU,19,0,0,6,9,8,0,0
K1TW,15,0,2,2,10,7,1,0
K1VLB,9,0,1,4,6,0,0,0
K1VMT,25,0,3,12,13,9,0,0
K1VR,45,11,20,29,28,17,5,0
K1VSJ,26,0,0,0,26,0,0,0
K1VUT,11,0,1,4,6,6,0,0
K1VWQ,8,0,1,3,5,0,0,0
K1WHS,13,13,0,0,0,0,0,0
K1XS,26,2,8,10,17,12,3,0
K1YT,38,9,8,15,16,14,5,0
K1ZE,12,4,4,2,6,7,6,0
K1ZM,17,6,9,10,12,9,3,0
K1ZR,14,0,4,7,6,5,2,0
K1ZZ,45,11,18,30,25,19,7,0
K2AL,11,0,0,3,8,3,0,0
K2AX,48,15,24,34,32,24,5,0
K2BB,3,0,0,1,2,0,0,0
K2BX,22,1,0,9,11,8,0,0
K2CJ,18,3,0,5,9,6,1,0
K2CYE,27,5,9,13,15,9,0,0
K2DAR,4,0,0,0,2,3,0,0
K2DBK,6,0,1,4,4,2,0,0
K2DLS,8,1,3,3,2,4,0,0
K2DM,28,0,1,18,8,5,0,0
K2EK,23,0,4,8,12,13,3,0
K2EP,22,4,5,11,11,7,1,0
K2EZ,5,0,0,4,3,0,0,0
K2GLS,10,0,0,4,4,5,0,0
K2GMY,19,0,0,0,19,0,0,0
K2HT,9,0,3,4,1,2,2,0
K2IZ,4,0,1,3,1,1,0,0
K2JL,6,0,0,2,5,5,1,0
K2KQ,35,6,9,18,18,14,4,0
K2LE,48,20,30,37,32,26,12,0
K2LML,4,0,0,0,4,0,0,0
K2LNS,40,0,8,19,17,12,2,0
K2LS,19,1,3,6,11,8,1,0
K2MEN,6,0,0,1,5,0,0,0
K2MFY,16,0,3,7,8,7,0,0
K2MK,18,1,2,8,11,4,1,0
K2NV,36,9,12,19,23,11,5,0
K2OID,15,0,0,6,10,3,1,0
K2PF,11,0,0,4,8,5,0,0
K2PMC,9,0,0,9,0,0,0,0
K2PS,20,0,0,15,6,6,0,0
K2QB,12,1,4,4,6,4,0,0
K2QMF,48,14,18,29,25,16,4,0
K2QPN,27,1,2,11,13,6,0,0
K2RB,34,0,7,17,16,8,0,0
K2RD,20,1,1,16,6,4,1,0
K2RET,29,3,5,14,14,8,4,0
K2RR,28,0,28,0,0,0,0,0
K2SD,24,0,0,4,14,13,2,0
K2SE,26,0,4,13,8,8,0,0
K2SG,37,5,16,18,17,12,2,0
K2SLZ,13,0,0,4,6,4,0,0
K2SSS,24,0,0,0,0,24,0,0
K2TE,29,0,5,14,13,8,0,0
K2TTM,3,0,3,2,0,0,0,0
K2TV,10,0,0,3,6,5,0,0
K2TWI,26,0,0,12,14,5,0,0
K2UF,28,2,9,17,9,4,0,0
K2UR,21,0,0,0,0,21,0,0
K2WK,20,5,8,12,11,6,1,0
K2XR,35,6,14,15,21,13,4,0
K2YG,16,0,0,6,7,7,0,0
K2YGM,26,0,4,11,11,9,1,0
K2YR,6,0,3,0,5,0,0,0
K2YY/6,16,0,0,0,0,16,0,0
K2ZL,17,0,0,4,9,8,1,0
K2ZR,2,0,0,0,2,0,0,0
K3ABE,15,0,0,5,10,1,0,0
K3ATO,21,1,2,11,13,5,0,0
K3BHX,6,1,1,3,4,1,0,0
K3CCR,35,1,4,16,19,13,3,0
K3CWF,33,0,1,15,20,6,0,0
K3EW,28,0,3,12,12,7,0,0
K3FK,19,0,2,11,10,0,0,0
K3FMQ,33,5,6,9,19,12,2,0
K3HW,27,0,3,11,17,10,2,0
K3IE,39,7,14,18,22,18,2,0
K3ISH,3,0,0,0,0,3,0,0
K3IU,17,0,2,7,9,9,2,0
K3JJJ,11,0,0,0,8,5,0,0
K3JWI,25,0,4,8,8,6,0,0
K3KNL,12,0,3,7,3,2,0,0
K3KO,25,0,11,13,14,9,0,0
K3KU,6,1,1,3,4,2,2,0
K3LR,48,29,33,40,46,29,19,0
K3MAW,25,7,8,15,15,10,1,0
K3MD,33,8,12,18,23,17,6,0
K3MZ,7,0,0,3,1,4,0,0
K3ND,34,7,11,14,20,14,7,0
K3NDM,25,0,12,14,12,1,0,0
K3OO,40,10,17,19,22,14,6,0
K3OQ,15,5,4,6,8,5,1,0
K3ORC,18,0,0,7,10,6,1,0
K3PG,5,0,1,4,2,0,0,0
K3PH,42,10,13,23,24,14,2,0
K3PP,35,9,13,21,26,17,7,0
K3QIA,24,1,5,10,12,3,0,0
K3RL,26,2,6,13,7,8,2,0
K3RV,27,0,0,0,0,27,0,0
K3SEN,23,0,4,9,17,13,2,0
K3STX,9,0,9,0,0,0,0,0
K3SU,30,2,1,11,23,19,6,0
K3SV,35,0,5,14,22,11,2,0
K3SW,36,6,9,19,16,10,1,0
K3SWZ,24,3,0,11,14,9,6,0
K3TC,40,4,13,13,17,15,3,0
K3TD,1,0,0,1,1,0,0,0
K3TUF,48,13,18,31,25,15,3,0
K3TW,9,9,0,0,0,0,0,0
K3UL,37,14,17,15,14,11,3,0
K3URT,7,0,1,5,0,2,0,0
K3UW,28,1,4,11,13,9,0,0
K3VX,15,0,0,11,2,2,0,0
K3WGR,26,1,7,8,10,7,3,0
K3WI,30,1,9,13,17,10,2,0
K3WJV,42,9,20,29,28,15,4,0
K3WT,26,4,6,11,16,11,2,0
K3WU,23,0,4,10,20,11,0,0
K3WW,45,17,19,29,30,21,5,0
K3WWP,14,0,0,4,9,9,0,0
K3WWT,6,0,0,0,2,4,0,0
K3WYC,30,0,5,7,19,6,0,0
K3ZA,18,0,0,0,0,18,0,0
K3ZU,4,1,2,1,1,1,2,0
K3ZV,13,0,0,0,13,0,0,0
K3ZYK,9,0,0,0,3,6,0,0
K4AB,45,11,13,22,23,13,4,0
K4AMQ,20,0,0,11,11,0,0,0
K4AOA,7,0,0,5,2,0,0,0
K4BAI,2,0,1,1,2,1,0,0
K4EA,31,2,11,16,15,12,0,0
K4EDI,13,0,3,3,6,5,0,0
K4EJ,35,0,8,14,13,7,2,0
K4EOR,5,0,0,1,3,3,1,0
K4FJW,30,1,5,12,12,13,4,0
K4FT,25,7,4,5,6,7,2,0
K4FTO,24,2,5,9,6,7,0,0
K4FW,2,0,0,2,0,0,0,0
K4FXN,24,5,7,13,14,8,2,0
K4IDD,11,0,0,4,7,0,0,0
K4IE,34,0,7,15,21,19,3,0
K4IU,21,4,7,13,7,9,0,0
K4JLD,25,3,3,4,10,10,2,0
K4KAY,26,5,0,8,14,10,0,0
K4KZ,10,2,1,5,4,4,0,0
K4LM,15,3,5,4,6,7,0,0
K4LNN,6,0,0,1,6,1,0,0
K4LPQ,23,0,0,11,15,10,0,0
K4LQ,26,6,7,13,11,9,1,0
K4MIL,12,0,1,4,7,7,1,0
K4MM,17,0,0,0,17,0,0,0
K4MX,3,0,3,0,0,0,0,0
K4MZE,2,0,0,0,2,1,0,0
K4OAQ,25,0,0,0,0,25,0,0
K4ORD,24,4,7,11,16,7,3,0
K4OV,10,1,3,4,5,2,0,0
K4OWR,23,1,5,10,13,7,0,0
K4PI,22,22,0,0,0,0,0,0
K4PP,8,0,0,6,4,1,1,0
K4PV,46,7,16,22,23,12,1,0
K4RDU,23,0,0,0,0,23,0,0
K4RO,31,7,7,13,19,13,2,0
K4RUM,20,0,3,12,9,9,0,0
K4SBZ,16,0,2,4,6,8,0,0
K4SXT,12,0,4,8,3,3,1,0
K4UB,7,0,0,7,0,0,0,0
K4VD,6,0,0,0,6,0,0,0
K4WI,12,0,0,0,0,0,12,0
K4WIP,7,0,7,0,0,0,0,0
K4WMS,27,4,8,13,8,9,2,0
K4WQ,12,0,3,6,6,4,0,0
K4WW,22,4,4,8,6,8,0,0
K4XL,12,0,0,8,3,3,0,0
K4XU,28,3,7,12,19,13,2,0
K4YJ,17,0,0,8,12,5,2,0
K4YYL,8,0,0,0,8,0,0,0
K4ZRJ,5,5,0,0,0,0,0,0
K5BG,14,0,3,6,2,6,0,0
K5BIU,14,0,0,5,9,0,0,0
K5CAO,3,0,2,0,1,0,0,0
K5CI,13,0,7,11,4,3,0,0
K5EK,26,4,7,12,17,17,3,0
K5FNQ,18,0,4,4,6,8,4,0
K5FP,9,1,0,4,7,3,0,0
K5FUV,34,0,11,16,15,11,5,0
K5GQ,12,0,0,12,0,0,0,0
K5HTE,8,0,1,4,3,2,0,0
K5IB,25,0,0,0,14,20,0,0
K5IX,5,0,0,1,2,2,0,0
K5IZO,9,0,0,0,9,0,0,0
K5JTH,20,3,8,5,10,9,1,0
K5KC,16,16,0,0,0,0,0,0
K5KG,7,0,0,3,6,4,2,0
K5KJ,20,0,0,0,0,20,0,0
K5KU,44,6,8,21,25,16,2,0
K5LJ,22,0,0,7,10,10,0,0
K5LY,27,0,9,8,10,6,0,0
K5MXG,12,1,4,6,8,6,1,0
K5NA,34,9,14,15,20,19,10,0
K5OA,27,0,3,8,21,13,3,0
K5OLV,2,0,0,0,2,0,0,0
K5QR,22,0,4,0,0,18,0,0
K5RM,20,2,6,8,7,8,1,0
K5RX,27,8,6,5,15,13,7,0
K5SGE,17,0,2,8,8,3,0,0
K5TA,8,0,0,8,0,0,0,0
K5TMT,27,0,2,13,10,10,2,0
K5TR,48,14,23,30,28,24,10,0
K5TU,30,4,8,19,13,10,2,0
K5UA,30,0,7,9,18,17,3,0
K5UV,24,3,7,12,11,9,0,0
K5WA,41,13,16,25,22,16,8,0
K5WI,6,0,2,0,3,1,0,0
K5WQG,18,0,5,8,11,9,2,0
K5XU,32,0,2,11,14,17,5,0
K5ZD,32,8,13,17,22,16,7,0
K5ZG,16,1,4,8,5,8,0,0
K6AAB,15,0,0,4,9,7,1,0
K6AAM,26,0,0,0,26,0,0,0
K6AR,24,0,0,24,0,0,0,0
K6BZZ,10,0,0,2,5,3,0,0
K6CSL,20,0,1,11,6,4,1,0
K6GHA,23,0,0,0,23,0,0,0
K6ICS,18,0,1,5,5,11,4,0
K6III,16,0,2,6,4,9,1,0
K6JS,30,0,9,12,13,10,3,0
K6KQV,10,0,0,3,7,0,0,0
K6KR,22,2,3,7,14,1,0,0
K6LE,9,0,0,2,7,1,0,0
K6LL,48,16,24,32,28,22,7,0
K6MM,13,1,0,3,9,8,0,0
K6NA,13,4,3,5,4,4,0,0
K6NR,12,0,0,2,10,6,0,0
K6OGO,15,0,0,2,12,3,0,0
K6PO,12,0,0,3,4,7,2,0
K6RB,10,0,4,5,6,4,0,0
K6RC,23,0,1,6,16,12,4,0
K6RIM,26,0,1,15,16,12,4,0
K6RR,40,0,12,22,13,14,1,0
K6SDW,13,0,0,5,7,2,0,0
K6SRZ,16,2,6,6,8,4,0,0
K6UF,16,0,0,6,9,4,0,0
K6UM,12,1,3,3,6,5,1,0
K6WSC,36,0,11,15,23,20,9,0
K6XT,27,5,1,0,25,1,0,0
K6XV,10,0,0,3,4,4,0,0
K6XX,41,7,13,20,25,16,8,0
K6YK,25,0,8,8,10,10,2,0
K7ABV,27,2,0,11,19,10,0,0
K7ACZ,13,0,0,9,4,0,0,0
K7AHF,21,0,0,0,20,9,0,0
K7AR,23,3,10,17,9,4,0,0
K7ARJ,6,0,0,1,5,4,0,0
K7AZT,25,0,0,10,12,13,0,0
K7BTW,11,6,2,4,3,0,0,0
K7BV,30,7,8,15,19,17,4,0
K7CS,15,0,0,6,2,8,2,0
K7CW,14,14,0,0,0,0,0,0
K7DBN,5,0,0,1,4,0,0,0
K7DR,20,2,5,7,11,10,1,0
K7DSE,9,0,0,0,7,3,0,0
K7EG,10,1,0,4,5,0,0,0
K7GA,9,0,2,5,1,3,0,0
K7HBN,23,0,2,5,17,12,0,0
K7HI,29,0,7,10,8,10,2,0
K7HP,25,1,7,11,8,6,3,0
K7HPT,11,0,0,0,8,4,0,0
K7IA,20,1,3,7,13,6,1,0
K7JAN,7,0,0,1,5,2,0,0
K7JJ,7,0,0,1,6,0,0,0
K7JNA,17,0,0,1,11,7,3,0
K7JQ,29,0,6,15,17,10,1,0
K7JR,44,6,14,22,20,13,2,0
K7LFY,27,0,0,27,0,0,0,0
K7MKL,15,0,3,4,10,10,1,0
K7MY,6,0,0,0,0,6,0,0
K7MZ,8,0,1,2,5,0,0,0
K7NEW,11,0,0,1,6,6,0,0
K7NJ,33,0,0,33,0,0,0,0
K7OM,27,4,5,10,12,10,1,0
K7OVM,7,0,0,0,2,5,0,0
K7PDW,4,0,0,0,2,2,0,0
K7PJT,12,0,0,12,0,0,0,0
K7QA,37,6,14,15,21,9,0,0
K7RGG,16,0,0,0,10,12,3,0
K7RL,31,8,10,16,17,9,4,0
K7SCX,25,0,0,25,0,0,0,0
K7SS,16,8,3,6,5,5,2,0
K7TQ,32,0,7,17,22,16,0,0
K7UA,18,4,5,6,7,3,0,0
K7ULS,26,0,5,16,0,9,0,0
K7UT,35,2,8,16,18,10,0,0
K7VIT,22,2,2,5,6,8,2,0
K7WA,10,0,0,0,10,0,0,0
K7WP,37,3,7,22,15,12,2,0
K7XC,31,7,7,12,13,9,4,0
K7XZ,14,0,14,0,0,0,0,0
K7YDL,12,1,0,2,9,4,2,0
K7ZA,23,1,3,12,11,7,0,0
K7ZG,13,0,1,7,5,5,0,0
K7ZYV,8,0,0,2,4,6,1,0
K8AJA,13,2,4,6,2,6,1,0
K8AJS,24,0,0,0,24,0,0,0
K8AJX,11,2,3,4,4,2,0,0
K8ALM,14,0,0,5,2,7,2,0
K8ANM,1,0,0,0,1,0,0,0
K8AZ,48,20,28,39,39,22,12,0
K8BZ,16,7,1,4,10,2,0,0
K8CN,31,4,9,15,19,16,2,0
K8ESQ,12,0,2,0,10,2,0,0
K8FB,10,1,4,3,3,2,1,0
K8GL,42,0,17,23,26,13,6,0
K8GM,14,0,0,5,10,0,0,0
K8GT,34,0,6,13,15,11,0,0
K8GU,9,0,0,0,9,0,0,0
K8KI,25,1,4,12,12,4,0,0
K8LBQ,21,1,6,10,7,6,1,0
K8LS,28,3,10,14,15,12,2,0
K8LY,26,0,5,8,6,8,3,0
K8MFO,32,0,1,32,0,0,0,0
K8MJZ,5,0,0,0,2,3,0,0
K8MP,21,5,7,8,8,6,1,0
K8MR,13,0,4,7,11,8,3,0
K8PGJ,7,0,0,3,6,2,0,0
K8PJK,33,5,9,20,15,12,0,0
K8ROX,38,4,9,18,24,13,2,0
K8SYH,9,2,0,6,4,4,0,0
K8TS,17,1,5,9,4,3,0,0
K8VUS,16,1,1,3,11,7,0,0
K8YC,14,0,3,6,10,6,0,0
K8ZT,27,4,8,13,15,11,2,0
K9BGL,30,5,8,14,19,13,7,0
K9CJ,22,0,0,22,0,0,0,0
K9CQ,9,1,3,6,0,0,0,0
K9CS,6,0,0,2,4,2,1,0
K9CT,48,24,29,32,28,22,10,0
K9DU,18,5,1,4,13,4,1,0
K9DY,12,0,0,6,6,4,0,0
K9EA,10,6,2,3,0,0,0,0
K9EL,29,3,7,12,16,9,5,0
K9FS,2,0,0,1,2,0,0,0
K9GDF,3,0,0,0,3,2,0,0
K9GY,27,0,12,10,10,9,1,0
K9IG,26,5,4,11,18,12,7,0
K9IL,29,0,4,11,12,15,0,0
K9IMM,36,12,18,25,31,21,8,0
K9IUQ,29,5,2,10,15,5,0,0
K9JF/7,30,0,6,19,12,8,2,0
K9JU,11,0,0,0,0,11,0,0
K9KE,28,1,8,8,17,15,4,0
K9KJ,10,0,2,3,4,5,0,0
K9LA,11,1,5,1,4,2,1,0
K9MA,31,5,8,15,20,17,5,0
K9MMS,16,7,6,4,4,3,0,0
K9OR,20,0,3,12,9,7,1,0
K9PG,28,9,8,10,16,14,4,0
K9PMV,14,0,1,4,7,7,2,0
K9PY,15,0,2,6,5,4,0,0
K9QJ,24,0,0,11,14,4,0,0
K9QVB,19,0,2,7,10,7,2,0
K9RS,34,9,16,22,24,16,8,0
K9SE,12,12,0,0,0,0,0,0
K9UIY,25,0,25,0,0,0,0,0
K9UQN,27,0,3,14,13,4,2,0
K9WD,11,1,2,2,8,6,1,0
K9XE,8,0,0,0,5,6,1,0
K9XV,14,0,1,6,10,5,0,0
K9ZO,39,13,17,15,13,15,6,0
KA1C,9,0,2,4,3,5,1,0
KA1DBE,17,0,3,8,7,0,0,0
KA1IOR,13,1,4,8,4,2,0,0
KA1IS,37,0,0,37,0,0,0,0
KA1SAW,12,0,0,8,0,6,0,0
KA2BSK,16,0,4,7,3,5,1,0
KA2D,16,0,1,4,11,8,3,0
KA2FIR,20,1,6,4,6,4,3,0
KA3MZR,10,0,0,3,0,7,0,0
KA3NUV,25,0,2,10,9,10,0,0
KA3QLF,13,0,0,12,0,1,0,0
KA4RRU,2,2,0,0,0,0,0,0
KA5M,25,3,3,9,15,4,2,0
KA7T,9,9,0,0,0,0,0,0
KA8G,13,0,0,5,7,4,0,0
KA8HDE,15,0,5,7,6,6,0,0
KA9A,18,0,0,18,0,0,0,0
KA9CAR,7,0,2,3,3,2,0,0
KA9FOX,8,2,2,4,4,3,2,0
KA9O,34,0,0,20,18,10,1,0
KB0EO,11,6,5,9,0,0,0,0
KB0R,13,0,1,4,7,7,0,0
KB0VE,25,4,0,7,10,7,0,0
KB1BMF,8,0,0,7,3,0,0,0
KB1W,27,3,6,10,17,9,1,0
KB3MP,30,2,7,12,13,15,3,0
KB3Z,33,1,11,14,18,8,2,0
KB4FB,9,0,0,2,6,3,0,0
KB7ABJ,23,0,3,15,6,7,0,0
KB7AZ,5,0,0,5,0,0,0,0
KB7N,5,0,0,0,5,0,0,0
KB8GAE,8,0,2,3,5,3,0,0
KB8W,5,0,0,0,2,4,1,0
KB9DKR,22,2,3,5,14,11,0,0
KB9O,20,0,4,5,11,6,0,0
KB9S,11,0,0,4,3,7,0,0
