Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
9M2DRL,2,0,1,1,2,0,0,0
9M2M,47,0,8,22,28,22,1,0
9M2SDX,22,0,1,8,9,4,0,0
9M2TO,20,0,0,9,9,9,0,0
9M2YDX,6,0,0,3,3,0,0,0
9M4CHM,3,0,0,3,0,0,0,0
9M6/NR1J,22,0,0,7,12,9,0,0
9M6NA,43,10,13,17,24,20,13,0
9M6YBG,2,0,0,0,0,2,0,0
9M6ZAE,4,0,0,0,0,0,4,0
9M8YY,17,0,0,0,0,0,17,0
9Q6BB,3,0,0,0,2,2,1,0
9V1KG,22,0,0,0,1,21,0,0
9V1OW,21,0,0,0,15,9,4,0
9V1XX,19,0,0,0,0,19,0,0
9Y4/VE3EY,47,6,14,17,24,21,5,0
9Z4A,3,0,0,0,1,3,1,0
A31MM,33,0,0,4,0,31,1,0
A44A,48,23,28,36,42,24,16,0
A45XR,29,2,6,11,11,13,4,0
A61EK,41,3,9,17,15,10,2,0
A65CA,30,4,9,15,13,9,1,0
A65DR,6,0,4,1,1,1,0,0
A71EM,35,1,6,14,12,15,0,0
A71GO,18,0,0,8,10,5,1,0
A92GE,26,0,0,11,11,10,0,0
AA0AI,27,0,2,12,17,16,2,0
AA1K,45,13,19,31,33,20,4,0
AA1O,10,1,4,6,4,1,0,0
AA1ON,41,5,11,23,23,14,3,0
AA1QD,1,1,0,0,0,0,0,0
AA1SU,21,0,8,9,7,1,0,0
AA1V,38,10,12,13,17,14,6,0
AA2TH,9,0,0,7,0,2,0,0
AA2Y,10,0,1,5,5,4,0,0
AA3K,13,0,5,9,2,0,0,0
AA4DD,17,3,8,10,0,0,0,0
AA4GT,22,0,0,8,14,7,0,0
AA4LR,8,0,4,0,2,3,0,0
AA4R,35,0,0,17,24,18,2,0
AA4SD,4,0,0,2,3,1,0,0
AA5AM,4,4,1,0,0,0,0,0
AA5WZ,10,0,0,5,3,1,1,0
AA6EE,30,4,0,12,18,8,0,0
AA6MU,8,0,0,3,5,1,0,0
AA6OC,20,0,0,5,12,13,0,0
AA6PW,14,0,2,7,8,4,1,0
AA6VX,10,0,0,4,6,0,0,0
AA7UN,21,1,1,6,12,8,0,0
AA7V,28,0,4,6,18,16,9,0
AA8TA,15,0,0,7,6,8,0,0
AA9A,48,6,18,28,27,17,10,0
AA9DU,6,0,1,5,3,1,0,0
AA9L,9,0,0,4,4,2,0,0
AB1BN,15,1,1,6,5,7,0,0
